date,fe,Ne,pX,pY,pZ,avgX,avgY,avgZ,magX,magY,magZ,freqX,freqY,freqZ
19/01/2024 16:23:32,20,128,0.016,0,4.071,0.064,0.014,1.008,0.016,0.014,0.02,1.875,0.3125,1.40625
19/01/2024 16:24:28,20,128,0.016,0,4.07,0.064,0.014,1.008,0.012,0.012,0.02,2.96875,2.34375,0.46875
19/01/2024 16:25:28,20,128,0.016,0,4.07,0.064,0.014,1.008,0.013000000000000001,0.013000000000000001,0.014,2.65625,1.5625,1.40625
19/01/2024 16:26:28,20,128,0.016,0,4.07,0.064,0.014,1.008,0.013000000000000001,0.011,0.017,1.71875,3.4375,5.15625
19/01/2024 16:36:28,20,128,0.019,0,4.061,0.07,0.004,1.0070000000000001,0.02,0.011,0.019,3.4375,0.15625,0.3125
19/01/2024 16:37:28,20,128,0.171,0.28200000000000003,4.368,0.111,0.064,1.02,14.757,20.381,17.565,3.4375,3.4375,3.4375
19/01/2024 16:38:28,20,128,0.02,0,4.049,0.07100000000000001,0.001,1.006,0.016,0.013000000000000001,0.021,2.96875,1.25,0.46875
19/01/2024 16:39:28,20,128,0.02,0,4.05,0.07100000000000001,0.001,1.006,0.012,0.014,0.018000000000000002,4.375,1.40625,2.03125
19/01/2024 16:40:28,20,128,0.02,0,4.05,0.07100000000000001,0.001,1.006,0.012,0.012,0.017,1.25,1.5625,1.40625
19/01/2024 17:06:23,20,128,0.017,0,4.0600000000000005,0.066,0.005,1.0070000000000001,0.034,0.015,0.021,0.15625,5.46875,1.25
19/01/2024 17:07:19,20,128,0.013000000000000001,0,4.063,0.057,0.005,1.0070000000000001,0.019,0.01,0.017,0.9375,2.5,2.8125
19/01/2024 17:11:50,20,128,0.012,0,4.058,0.054,0.005,1.0070000000000001,0.015,0.012,0.016,2.34375,2.34375,1.25
19/01/2024 17:19:21,20,128,0.019,0,4.051,0.069,0.005,1.006,0.015,0.012,0.019,0.3125,3.28125,0.3125
19/01/2024 17:20:20,20,128,0.019,0,4.051,0.069,0.005,1.006,0.012,0.012,0.02,2.03125,0.46875,0.46875
19/01/2024 17:29:12,20,128,0.021,0,4.05,0.074,0.005,1.006,0.017,0.015,0.019,2.03125,1.09375,0.78125
19/01/2024 17:31:17,20,128,2.723,0,9.283,0.007,0,1.298,9.944,0.027,48.642,2.03125,10,10
19/01/2024 17:49:04,20,128,0.037,0.056,4.058,0.074,0.006,1.0070000000000001,2.642,7.622,0.383,0.15625,3.59375,3.28125
26/01/2024 13:27:34,20,32,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2024 13:31:21,20,32,1.006,0.886,2.939,0.456,0.459,0.763,4.062,1.808,7.7490000000000006,2.5,2.5,2.5
26/01/2024 13:44:53,20,32,1.877,1.863,0.714,0.677,0.608,0.068,2.269,8.776,11.877,3.75,3.75,3.75
29/01/2024 10:18:31,20,128,0.434,0.031,3.508,0.329,0.088,0.936,0.123,0.056,0.311,0.46875,9.21875,0.15625
29/01/2024 10:20:03,20,128,2.892,0.73,0.387,0.841,0.41200000000000003,0.3,5.694,5.47,4.468,1.40625,0.3125,2.34375
29/01/2024 10:31:21,20,128,0.264,0.011,3.766,0.255,0.044,0.969,2.253,1.571,3.112,0.3125,0.15625,1.71875
29/01/2024 10:33:17,20,128,0.191,0.028,3.69,0.19,0.051000000000000004,0.9570000000000001,9.19,5.346,5.3100000000000005,0.15625,0.15625,1.71875
29/01/2024 10:35:17,20,128,0.034,0.004,3.898,0.08600000000000001,0.009000000000000001,0.987,3.779,2.051,0.683,0.15625,0.3125,0.15625
29/01/2024 10:37:17,20,128,0.008,0.061,3.9010000000000002,0.044,0.122,0.987,1.187,1.842,0.17500000000000002,0.15625,0.15625,4.0625
29/01/2024 10:55:17,20,128,5.021,1.325,0.339,1.088,0.47100000000000003,0.056,18.017,18.968,22.165,3.125,2.96875,2.96875
29/01/2024 10:57:12,20,128,0.755,0.318,3.243,0.41100000000000003,0.14200000000000002,0.878,11.564,12.471,10.747,0.15625,4.6875,1.71875
29/01/2024 11:01:13,20,128,0.114,3.369,1.205,0.14300000000000002,0.914,0.293,7.571,3.353,30.401,0.15625,4.375,4.6875
29/01/2024 12:40:49,20,128,4.021,0.274,0.363,0.985,0.219,0.225,14.876,8.354000000000001,11.714,1.875,3.75,2.96875
29/01/2024 12:42:49,20,128,1.54,1.846,0.584,0.615,0.672,0.365,3.1550000000000002,5.007,5.3420000000000005,0.625,0.46875,3.28125
29/01/2024 12:44:49,20,128,2.819,0.5630000000000001,0.376,0.835,0.364,0.251,5.6240000000000006,4.121,18.972,0.15625,0.3125,0.15625
29/01/2024 21:49:37,20,8,2.406,0.145,0.921,0.774,0.19,0.47900000000000004,0.233,0.057,0.145,2.5,2.5,2.5
